Filename,Label
CHYPRCE098_0315_162636_300C_FB_0,Photo
CHYPRCE098_0315_162652_300C_FB_0,Unknown
CHYPRCE098_0315_162744_300C_FB_0,Unknown
CHYPRCE098_0315_162816_300C_FB_0,Unknown
CHYPRCE098_0315_162904_300C_FB_0,Photo
CHYPRCE098_0315_162933_300C_FB_0,Unknown
CHYPRCE098_0315_163021_300C_FB_0,Unknown
CHYPRCE098_0315_163039_300C_FB_0,Unknown
CHYPRCE098_0315_163133_300C_FB_0,Unknown
CHYPRCE098_0315_163149_300C_FB_0,Unknown
CHYPRCE098_0315_163307_300C_FB_0,Document
CHYPRCE098_0315_163324_300C_FB_0,Unknown
CHYPRCE098_0315_163417_300C_FB_0,Unknown
CHYPRCE098_0315_163432_300C_FB_0,Unknown
CHYPRCE098_0315_163538_300C_FB_0,Unknown
CHYPRCE098_0315_163554_300C_FB_0,Unknown
CHYPRCE098_0315_163703_300C_FB_0,Unknown
CHYPRCE098_0315_163720_300C_FB_0,Unknown
CHYPRCE098_0315_163817_300C_FB_0,Unknown
CHYPRCE098_0315_163832_300C_FB_0,Unknown
CHYPRCE098_0315_163919_300C_FB_0,Unknown
CHYPRCE098_0315_163934_300C_FB_0,Unknown
CHYPRCE098_0315_164022_300C_FB_0,Unknown
CHYPRCE098_0315_164039_300C_FB_0,Unknown
CHYPRCE098_0315_164130_300C_FB_0,Unknown
CHYPRCE098_0315_164148_300C_FB_0,Unknown
CHYPRCE098_0315_164234_300C_FB_0,Photo
CHYPRCE098_0315_164255_300C_FB_0,Unknown
CHYPRCE098_0315_164353_300C_FB_0,Photo
CHYPRCE098_0315_164411_300C_FB_0,Photo
CHYPRCE098_0315_164508_300C_FB_0,Photo
CHYPRCE098_0315_164529_300C_FB_0,Photo
CHYPRCE098_0315_164633_300C_FB_0,Photo
CHYPRCE098_0315_164656_300C_FB_0,Document
CHYPRCE098_0315_164811_300C_FB_0,Unknown
CHYPRCE098_0315_164833_300C_FB_0,Document
CHYPRCE098_0315_164923_300C_FB_0,Unknown
CHYPRCE098_0315_164942_300C_FB_0,Photo
CHYPRCE098_0315_165029_300C_FB_0,Photo
CHYPRCE098_0315_165044_300C_FB_0,Photo
CHYPRCE098_0315_165135_300C_FB_0,Photo
CHYPRCE098_0315_165200_300C_FB_0,Document
